Project Name,Purpose,Category,Geography,URL,Source Code URL,License
Open Contracting Portal,"The Open Contracting Portal (OC Portal) is an open-source platform built to organize and archive procurement documents, improve data transparency and feedback by the public, and help publish procurement information in the Open Contracting Data Standard (OCDS)",Open Contracting,Kenya,https://devgateway.github.io/ocportal/,https://github.com/devgateway/ocportal,MIT
CKAN,"CKAN is an Open Source Data Management System to build Data Portals. Trusted by hundreds of portals across the world and supported by an active community, it focuses on extensibility and integration with other tools.",Foundational Layer,Worldwide,https://ckan.org,https://github.com/ckan/ckan,AGPL-3.0
